id,user_id,created_at,completed,attention_checks,prolific_start_time,prolific_end_time,event_start_time,event_end_time,total_learning_time,exp_instruction_time,total_exp_time
1372,participant_0094,2024-04-11 17:10:52.980719,False,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}}",2025-02-20 12:33:38.386,2025-02-20 13:00:15.835,,,,,26.62415
1412,participant_0011,2024-04-11 17:13:21.677834,False,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}}",2025-02-20 12:33:38.386,2025-02-20 13:00:15.835,,,,,26.62415
2095,participant_0043,2024-04-15 12:23:53.056365,True,"{'1': {'correct': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess, whether the machine learning model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-20 12:25:45.353,2025-02-20 13:06:43.416,2024-04-15 12:25:23.038962,2024-04-15 12:51:27.958531,26.081992816666666,-447840.3719006333,40.96771666666667
3491,participant_0113,2025-02-20 12:30:26.445926,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '2'}}",2025-02-20 12:28:40.754,2025-02-20 12:40:39.687,2025-02-20 12:30:48.137003,2025-02-20 12:38:22.410700,7.571228283333334,2.1230500500000002,11.982216666666666
3521,participant_0001,2025-02-20 12:40:23.231924,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-20 12:37:43.267,2025-02-20 13:01:50.072,2025-02-20 12:43:21.758620,2025-02-20 12:57:51.322302,14.492728033333332,5.641527,24.11341666666667
3511,participant_0059,2025-02-20 12:37:04.107241,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-20 12:33:21.854,2025-02-20 13:18:20.083,2025-02-20 12:39:52.135477,2025-02-20 13:16:26.826060,36.578176383333336,6.504691283333333,44.97048333333333
3487,participant_0041,2025-02-20 12:29:18.423531,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-2'}}",2025-02-20 12:26:32.161,2025-02-20 12:51:15.999,2025-02-20 12:30:43.589480,2025-02-20 12:47:06.688262,16.3849797,4.190474666666667,24.730633333333333
3508,participant_0075,2025-02-20 12:36:06.483493,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-20 12:33:38.386,2025-02-20 13:00:15.835,2025-02-20 12:37:38.305095,2025-02-20 12:55:55.587635,18.288042333333333,3.9986515833333334,26.62415
3558,participant_0010,2025-02-20 13:06:06.255053,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '1'}}",2025-02-20 13:03:28.544,2025-02-20 13:36:19.420,2025-02-20 13:06:53.294236,2025-02-20 13:33:49.295056,26.933347,3.4125039333333334,32.84793333333333
3488,participant_0105,2025-02-20 12:29:35.362671,True,"{'1': {'correct': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year', 'selected': 'Guess whether the AI model would predict the individual to earn more or less than 50k a year'}, '2': {'correct': ['-2', '-1'], 'selected': '-2'}, '3': {'correct': '-2', 'selected': '-2'}, '4': {'correct': '-1', 'selected': '-1'}}",2025-02-20 12:27:37.453,2025-02-20 12:44:30.674,2025-02-20 12:30:26.219581,2025-02-20 12:41:22.683743,10.941069366666666,2.81277635,16.887016666666668
