question,from_autosuggestion,count
"49 years of ages in an hoffice job 50hours a week, i'd imagine they have worked their way up and education no longer matters they have gained senior experience",False,1
?what would change it to over 50k,False,1
"a person working 56 hours per week could be interpreted by the model as having a potential to earn more, as they might be working in high-demand or overtime situations.",False,1
"admin pays pretty well, especially for longer hours",False,1
age and marital status were my main deciding factors. was this accurate?,False,1
ah so single is worse than married,False,1
"am i right to assume that generally working less hours, 40 in this case, leads to less earnings potential?",False,1
and this person's age would have allowed then to earn over 50k,False,1
and what was the most important factor you considered?,False,1
are you going to say something back,False,1
are you soeaking hypothetically or are you saying those 2 attributes are essential for under 50k for this model?,False,1
as occupation being an admin a big factor?,False,1
at what education level does that attirbute flip from suggestinh under or above in thsi model?,False,1
attribute	value age ?	34 years education level ?	middle school marital status ?	married occupation ?	blue-collar weekly working hours ?	40 hours work life balance ?	good investment outcome ?	5k,False,1
attribute	value age ?	58 years education level ?	middle school marital status ?	married occupation ?	white-collar weekly working hours ?	40 hours work life balance ?	poor investment outcome ?	no investment,False,1
bad model,False,1
bad study,False,1
because he invets i guess,False,1
because of investments/,False,1
because of the investment,False,1
because they are young and early on in their career,False,1
because they work 56 hours a week and admin usually pays quite fairly?,False,1
blue collar can mean a wide range of low paying positions,False,1
brief me,False,1
but hes married and in service,False,1
but the model says it predicted under 50k? explain?,False,1
but what about the occupation of admin and education level of middle school?,False,1
but what are examples of 'professional' jobs?,False,1
but why was this under 50k?,False,1
"can you break down difference between, white collar, blue collar and military status?",False,1
can you explain,False,1
can you explain how marital status and age are connected within the decision making?,False,1
can you give me an example of a scenario where work life balance is directly linked to productivity or income?,False,1
can you give me the weighted spectrum of occupations?,False,1
can you give the full ranking of attributes,False,1
can you list these from top influence on higher earning potential to lowest influence on higher earning potential?,False,1
can you outline why this person is thought to earn more then 50k and what were the most significant factors,False,1
can you please break down the answer?,False,1
can you rank the attributes by importance in the order you rank them for making your preduction?,False,1
can you verify that working a service job and having no investment income is generally not associated with earning over 50k?,False,1
can you verify your reasoning?,False,1
concisely list which attributes most made you predict under 50k,False,1
could the major gain be considered a one off that might not have been due to their work though?,False,1
could you explain your choice?,False,1
"could you provide the numerical percentages for each attribute's contribution?  specifically, i'd like to know:  how much did the ""professional"" occupation contribute to the ""over 50k"" prediction? how much did the ""high school graduate"" education level contribute to the ""over 50k"" prediction? how much did the ""married"" marital status contribute to the ""over 50k"" prediction? how much did the ""no investment"" outcome contribute, and was it a positive or negative influence? how much did the 55 weekly working hours contribute? how much did the age of 34 contribute?",False,1
did education level make a imapct on your decision any?,False,1
did i get it right,False,1
did job type matter,False,1
did the major gain change your decision that much,False,1
did the model consider the high weekly working hours (56 hours) as a major reason for predicting over $50k?,False,1
did the model weigh age (20 years) more than education level (primary education) when making this decision?,False,1
did you base this on the investment outcome,False,1
do blue collars earn less,False,1
do we caculate the percentage each attribute contributes to determine the prediction,False,1
do working hours impact on the decision,False,1
do you feel poor work life balance is a valid factor?,False,1
do you think this person makes over or under 50k and why? please explain your reasoning,False,1
does age play a factor,False,1
does blue collar impact the decision?,False,1
does education affect the model?,False,1
does education leverl contribute to your guess?,False,1
does it align?,False,1
does lack of further education have a big influence on the prediction?,False,1
does lack of investment suggest a lower wage,False,1
does marital status affect your prediction of income?,False,1
does married impact decision?,False,1
does no onvestment or a loss have a stronger wieght tioward under 50k?,False,1
does the combination of this person only being 23 and working a blue collar job weigh heavily into this prediction?,False,1
does the hours worked influence your decision?,False,1
"does the model categorize service jobs as generally low-paying roles, or does it take into account the specific industry or position within that category?",False,1
"does the model heavily weight investment success when predicting income, even if the other attributes suggest a lower-paying occupation or education level?",False,1
"does the model see blue-collar jobs as consistently lower-paying roles, even if other factors like working hours and experience are considered?",False,1
does the work life balance ever come into play for thismodel?,False,1
does their middle school education not make it more likely that they earn less?,False,1
does this person only having a middle school education level not hurt their earnings potential?,False,1
does work experience play a role in salary predictions?,False,1
does work life balance have a big influence?,False,1
does work life balance influence the model?,False,1
does work-life balance (good) influence salary predictions at all?,False,1
does working 56 hours per week have a strong impact on the prediction?,False,1
does working hours with investment as a combination become critical in predicting ?,False,1
doues working 50 hrs a week matter?,False,1
education level i guess,False,1
"education, occupation and martial status were my deciding factors. was this right?",False,1
explain further,False,1
explain more based on model predictions how does marital status and age predicts of oncome if above or below 50k?,False,1
explain this prediction to me,True,5
explain why i am wrong,False,1
explain your answer to me,False,1
explain your reasoning for prediction,False,1
for me the poor life balance and no investment indicated to me they would be below 50k.,False,1
"given that investment outcomes are by their nature influenced by so many other external factors, economic climate and even luck, surely this could lead to rogue outcomes?",False,1
given this person's age and schooling i was sure they would only earn a figure below 50k,False,1
