question,group1,group2,n1,n2,median1,iqr1,mean1,sd1,median2,iqr2,mean2,sd2,mann_whitney_u,z,p_value,effect_size_r,cliffs_delta,A12,higher_group,direction,significant
The chatbot considered my understanding.,chat,interactive,108,108,2.0,"(1.0, 2.0)",1.4074074074074074,1.3398077490560347,0.5,"(0.0, 1.25)",0.4722222222222222,1.4626715624802697,8045.0,4.925192720856461,8.427725048522284e-07,0.33511691808245203,0.37945816186556924,0.6897290809327846,chat,chat > interactive,True
The explanation was meant to encourage me to question my understanding.,chat,interactive,108,108,2.0,"(1.0, 3.0)",1.6944444444444444,1.2858564427171715,1.0,"(0.75, 2.0)",1.212962962962963,1.2000850898642574,7313.5,3.3331962649848097,0.0008585435582634465,0.2267952794934303,0.2540294924554183,0.6270147462277091,chat,chat > interactive,True
"While explaining, it was important for the chatbot to continuously consider whether I understood the explanation.",chat,interactive,108,108,1.0,"(1.0, 2.0)",1.1481481481481481,1.3590459463863103,1.0,"(0.0, 2.0)",0.7314814814814815,1.2425966291727297,6960.5,2.534703464740897,0.011254254921155497,0.17246472605221694,0.19350137174211257,0.5967506858710563,chat,"chat ≈ interactive (same median, chat higher mean)",True
The chatbot encouraged me to visualize the different processes of the topic.,chat,interactive,108,108,1.0,"(0.75, 2.0)",1.1574074074074074,1.4479249544052608,1.0,"(-0.25, 2.0)",0.5925925925925926,1.4078354634974453,7186.0,3.024300425876802,0.0024920883285942065,0.20577757978555622,0.2321673525377228,0.6160836762688614,chat,"chat ≈ interactive (same median, chat higher mean)",True
I can see myself using the chatbot in the future.,chat,interactive,108,108,2.0,"(0.75, 3.0)",1.287037037037037,1.772325817211315,1.0,"(0.0, 2.0)",1.0092592592592593,1.494509392636868,6714.5,1.9639061203371047,0.0495409799673848,0.1336268860431901,0.15132030178326472,0.5756601508916324,chat,chat > interactive,True
The chatbot acts truthfully.,chat,interactive,108,108,2.0,"(1.0, 2.0)",1.5277777777777777,1.2263335928681416,1.0,"(0.0, 2.0)",1.1203703703703705,1.1083168394840772,7137.5,2.940957970382042,0.003271989265194549,0.2001068439557568,0.22385116598079557,0.6119255829903978,chat,chat > interactive,True
I can rely on the chatbot.,chat,interactive,108,108,2.0,"(1.0, 2.0)",1.25,1.4984415580207786,1.0,"(0.0, 2.0)",1.0092592592592593,1.13972754877097,6835.5,2.2585455361994384,0.023911668974158966,0.1536745590147016,0.17206790123456783,0.5860339506172839,chat,chat > interactive,True
The chatbot interacts socially with me.,chat,interactive,108,108,1.0,"(-1.0, 2.0)",0.48148148148148145,1.8059169699788522,-1.0,"(-2.0, 1.0)",-0.75,1.730026200439059,8032.5,4.847965891649135,1.2473383988744964e-06,0.32986229791547944,0.3773148148148149,0.6886574074074074,chat,chat > interactive,True
The chatbot took my statements into account.,chat,interactive,108,108,2.0,"(1.0, 2.0)",1.6203703703703705,1.1578064386564162,1.0,"(0.0, 2.0)",0.6296296296296297,1.34367742424374,8298.5,5.525052245779078,3.2938757797913004e-08,0.3759321890104726,0.42292524005486976,0.7114626200274349,chat,chat > interactive,True
The chatbot responded when I signaled non-understanding.,chat,interactive,108,108,1.0,"(0.0, 2.0)",1.037037037037037,1.5463307545133271,0.0,"(-0.25, 1.0)",0.10185185185185185,1.2525847281567388,8145.5,5.156995721311566,2.509435350042059e-07,0.35088911452581717,0.3966906721536352,0.6983453360768176,chat,chat > interactive,True
